school_id,school_name,province,type,is_985,is_211,recruit_number,rank
555,陕西中医药大学,陕西,医药类,否,否,950,514
1212,北华航天工业学院,河北,理工类,否,否,382,515
381,佳木斯大学,黑龙江,综合类,否,否,955,517
1042,中国人民警察大学,河北,政法类,否,否,314,518
1041,河北科技师范学院,河北,师范类,否,否,489,519
1228,湖北经济学院,湖北,财经类,否,否,361,521
1347,阜阳师范大学,安徽,师范类,否,否,540,522
1049,川北医学院,四川,医药类,否,否,793,525
582,云南财经大学,云南,财经类,否,否,1485,526
1223,济宁医学院,山东,医药类,否,否,292,527
1488,莆田学院,福建,综合类,否,否,576,532
1061,西安财经大学,陕西,财经类,否,否,781,533
1405,贵阳学院,贵州,综合类,否,否,190,534
165,皖南医学院,安徽,医药类,否,否,774,537
1356,郑州航空工业管理学院,河南,财经类,否,否,686,538
1491,湖南城市学院,湖南,理工类,否,否,184,539
487,湖南工程学院,湖南,理工类,否,否,95,540
994,西藏民族大学,陕西,民族类,否,否,707,542
1348,中国劳动关系学院,北京,政法类,否,否,425,544
1368,太原师范学院,山西,师范类,否,否,675,545
1005,贵州财经大学,贵州,财经类,否,否,1274,547
1410,北部湾大学,广西,综合类,否,否,220,548
1479,肇庆学院,广东,师范类,否,否,320,550
48,西北民族大学,甘肃,综合类,否,否,729,551
1048,中国民用航空飞行学院,四川,理工类,否,否,434,555
1486,黑龙江工程学院,黑龙江,理工类,否,否,138,557
1216,安阳师范学院,河南,师范类,否,否,300,558
382,哈尔滨商业大学,黑龙江,财经类,否,否,913,564
980,牡丹江师范学院,黑龙江,师范类,否,否,661,568
166,蚌埠医科大学,安徽,医药类,否,否,567,569
1437,昆明学院,云南,综合类,否,否,323,570
84,武汉体育学院,湖北,体育类,否,否,691,571
1360,山东工商学院,山东,财经类,否,否,481,574
1404,河北中医药大学,河北,医药类,否,否,276,576
1199,湖南人文科技学院,湖南,综合类,否,否,62,578
438,内蒙古民族大学,内蒙古,综合类,否,否,941,583
328,沈阳体育学院,辽宁,体育类,否,否,444,588
197,贵州中医药大学,贵州,医药类,否,否,912,589
998,内蒙古财经大学,内蒙古,财经类,否,否,754,590
1236,宜春学院,江西,综合类,否,否,69,592
1501,浙江警察学院,浙江,政法类,否,否,43,593
1351,天水师范学院,甘肃,师范类,否,否,465,594
1441,上海健康医学院,上海,医药类,否,否,0,598
1349,中华女子学院,北京,语言类,否,否,200,599
1200,邵阳学院,湖南,综合类,否,否,85,601
1231,海南热带海洋学院,海南,综合类,否,否,249,602
1365,赣南医科大学,江西,医药类,否,否,627,607
1241,鞍山师范学院,辽宁,师范类,否,否,250,610
944,承德医学院,河北,医药类,否,否,510,612
1566,内蒙古科技大学包头师范学院,内蒙古,师范类,否,否,0,613
1240,成都医学院,四川,医药类,否,否,536,614
1237,赤峰学院,内蒙古,综合类,否,否,274,615
1362,吉林化工学院,吉林,理工类,否,否,392,619
1534,河西学院,甘肃,综合类,否,否,71,620
580,云南中医药大学,云南,医药类,否,否,787,621
1355,河北建筑工程学院,河北,理工类,否,否,278,625
425,天津体育学院,天津,体育类,否,否,452,626
1366,宁夏师范大学,宁夏,师范类,否,否,262,628
1504,上海商学院,上海,财经类,否,否,190,634
454,南京体育学院,江苏,体育类,否,否,163,637
990,喀什大学,新疆,综合类,否,否,1230,640
1490,江苏警官学院,江苏,政法类,否,否,43,642
1234,四川警察学院,四川,政法类,否,否,76,643
991,伊犁师范大学,新疆,师范类,否,否,582,645
570,甘肃中医药大学,甘肃,医药类,否,否,1075,648
502,广州体育学院,广东,体育类,否,否,329,654
1002,甘肃政法大学,甘肃,政法类,否,否,762,656
1505,呼伦贝尔学院,内蒙古,综合类,否,否,52,657
795,湖北民族大学,湖北,综合类,否,否,528,658
1144,山西中医药大学,山西,医药类,否,否,425,664
1225,广东金融学院,广东,财经类,否,否,190,666
484,新疆财经大学,新疆,财经类,否,否,952,678
1567,内蒙古科技大学包头医学院,内蒙古,医药类,否,否,0,682
1338,华北科技学院,河北,理工类,否,否,165,685
1352,右江民族医学院,广西,医药类,否,否,512,689
573,青海民族大学,青海,民族类,否,否,959,696
1117,山东体育学院,山东,体育类,否,否,119,697
1438,山西大同大学,山西,综合类,否,否,238,698
1245,西安医学院,陕西,医药类,否,否,304,702
1543,天津中德应用技术大学,天津,理工类,否,否,27,705
981,哈尔滨体育学院,黑龙江,体育类,否,否,399,710
1495,吉林工程技术师范学院,吉林,师范类,否,否,118,715
553,成都体育学院,四川,体育类,否,否,364,721
1357,牡丹江医科大学,黑龙江,医药类,否,否,372,729
1239,黔南民族师范学院,贵州,师范类,否,否,238,733
1354,中央司法警官学院,河北,政法类,否,否,143,736
563,西安体育学院,陕西,体育类,否,否,446,739
1040,河北北方学院,河北,综合类,否,否,614,742
1224,山东政法学院,山东,政法类,否,否,157,748
1213,河北金融学院,河北,财经类,否,否,155,753
1444,齐齐哈尔医学院,黑龙江,医药类,否,否,301,754
1374,昌吉学院,新疆,综合类,否,否,332,758
1233,沈阳工程学院,辽宁,理工类,否,否,143,772
1367,长治医学院,山西,医药类,否,否,247,780
1219,广西财经学院,广西,财经类,否,否,892,784
983,吉林体育学院,吉林,体育类,否,否,260,800
1376,云南警官学院,云南,政法类,否,否,67,815
169,中国科学院大学,北京,综合类,否,否,4640,2000
158,中国人民解放军国防科技大学,湖南,军事类,是,是,526,2000
115,中共中央党校,北京,政法类,否,否,0,2000
26,陆军工程大学,江苏,军事类,否,否,458,2000
713,中国社会科学院大学,北京,综合类,否,否,861,2000
17,中国农业科学院,北京,农林类,否,否,1111,2000
888,火箭军工程大学,陕西,军事类,否,否,257,2000
60,南京艺术学院,江苏,艺术类,否,否,521,2000
210,北京电影学院,北京,艺术类,否,否,160,2000
403,海军军医大学,上海,军事类,否,是,221,2000
213,中央戏剧学院,北京,艺术类,否,否,207,2000
238,中国人民解放军空军军医大学,陕西,军事类,否,是,1452,2000
418,中央美术学院,北京,艺术类,否,否,276,2000
250,华北电力大学保定校区,河北,理工类,否,是,1648,2000
471,中国美术学院,浙江,艺术类,否,否,778,2000
881,空军工程大学,陕西,军事类,否,否,468,2000
871,中国人民解放军陆军军医大学,重庆,军事类,否,否,861,2000
97,北京服装学院,北京,艺术类,否,否,310,2000
406,上海戏剧学院,上海,艺术类,否,否,169,2000
524,四川美术学院,重庆,艺术类,否,否,375,2000
1122,解放军医学院,北京,军事类,否,否,345,2000
1000,云南艺术学院,云南,艺术类,否,否,504,2000
512,广西艺术学院,广西,艺术类,否,否,659,2000
763,中国艺术研究院,北京,艺术类,否,否,314,2000
167,陆军装甲兵学院,北京,军事类,否,否,103,2000
28,中国空间技术研究院（航天五院）,北京,理工类,否,否,43,2000
404,上海音乐学院,上海,艺术类,否,否,225,2000
465,山东艺术学院,山东,艺术类,否,否,469,2000
417,中央音乐学院,北京,艺术类,否,是,104,2000
723,中国财政科学研究院,北京,财经类,否,否,129,2000
367,吉林艺术学院,吉林,艺术类,否,否,444,2000
566,西安美术学院,陕西,艺术类,否,否,352,2000
504,广州美术学院,广东,艺术类,否,否,385,2000
44,中共陕西省委党校,陕西,政法类,否,否,86,2000
1535,中国人民解放军战略支援部队信息工程大学,河南,军事类,否,否,352,2000
72,空军预警学院,湖北,军事类,否,否,158,2000
77,中国青年政治学院,北京,政法类,否,否,139,2000
848,四川省社会科学院,四川,综合类,否,否,173,2000
409,湖北美术学院,湖北,艺术类,否,否,415,2000
1016,陆军勤务学院,重庆,军事类,否,否,179,2000
1186,上海国家会计学院,上海,财经类,否,否,123,2000
1095,中共山东省委党校（山东行政学院）,山东,政法类,否,否,91,2000
851,中共四川省委党校（四川行政学院）,四川,政法类,否,否,86,2000
