school_id,school_name,year,avg_total_score,avg_politics_score,avg_english_score,avg_special_one_score,avg_special_two_score,major_count,province,type,is_985,is_211,rank
1228,湖北经济学院,2024,280.4,28.2,49.0,84.2,42.6,5,湖北,财经类,0,0,521
1367,长治医学院,2024,304.0,42.0,42.0,126.0,0.0,23,山西,医药类,0,0,780
1494,三亚学院,2022,249.33333333333334,26.0,38.333333333333336,64.0,39.333333333333336,3,海南,综合类,0,0,2000
995,西藏藏医药大学,2023,285.3333333333333,36.0,36.0,108.0,0.0,3,西藏,医药类,0,0,2000
1545,金陵科技学院,2023,250.0,25.333333333333332,42.333333333333336,72.0,38.0,3,江苏,理工类,0,0,466
1534,河西学院,2023,293.0,37.0,43.0,67.5,55.5,6,甘肃,综合类,0,0,620
1508,中国科学院苏州生物医学工程技术研究所,2023,314.2857142857143,50.0,50.0,77.14285714285714,77.14285714285714,7,江苏,其他,0,0,2000
1497,自然资源部第一海洋研究所,2024,300.0,41.0,41.0,62.0,62.0,6,山东,其他,0,0,2000
1202,浙江万里学院,2023,266.3333333333333,28.666666666666668,43.333333333333336,72.33333333333333,43.0,3,浙江,理工类,0,0,448
397,黑龙江省科学院,2024,288.0,41.0,41.0,62.0,62.0,2,黑龙江,综合类,0,0,2000
825,北京市生态环境保护科学研究院,2024,273.0,37.0,37.0,56.0,56.0,1,北京,理工类,0,0,2000
1034,河南科技学院,2022,291.3636363636364,38.72727272727273,38.72727272727273,63.45454545454545,53.36363636363637,11,河南,综合类,0,0,443
821,北京矿冶研究总院,2022,265.2,36.2,36.2,54.6,54.6,5,北京,理工类,0,0,2000
685,中国航空规划设计研究总院有限公司,2024,310.0,50.0,50.0,90.0,90.0,1,北京,理工类,0,0,2000
1000,云南艺术学院,2022,355.15384615384613,64.76923076923077,38.84615384615385,107.07692307692308,111.15384615384616,13,云南,艺术类,0,0,2000
1365,赣南医科大学,2022,309.0,43.0,43.0,129.0,0.0,7,江西,医药类,0,0,607
779,中国航天系统科学与工程研究院,2024,310.0,37.0,45.0,70.0,56.0,2,北京,理工类,0,0,2000
962,国家纳米科学中心,2022,304.0,45.0,45.0,90.0,90.0,10,北京,综合类,0,0,2000
1370,上海海关学院,2023,307.5,37.5,48.5,78.25,56.25,4,上海,财经类,0,0,340
1045,陆军步兵学院,2022,265.0,37.0,37.0,56.0,56.0,2,江西,军事类,0,0,2000
1064,中国科学院地球环境研究所,2023,277.8,38.0,38.0,57.0,57.0,5,陕西,理工类,0,0,2000
28,中国空间技术研究院（航天五院）,2022,312.0,40.0,60.0,90.0,62.4,10,北京,理工类,0,0,2000
725,昆明物理研究所（211所）,2024,263.0,34.0,34.0,51.0,51.0,1,云南,理工类,0,0,2000
367,吉林艺术学院,2022,324.6666666666667,37.666666666666664,37.666666666666664,56.666666666666664,56.666666666666664,3,吉林,艺术类,0,0,2000
1069,航天动力技术研究院,2022,267.42857142857144,36.714285714285715,36.714285714285715,55.285714285714285,55.285714285714285,7,陕西,理工类,0,0,2000
726,国际贸易经济合作研究院,2023,309.0,38.2,46.4,73.8,57.4,5,北京,理工类,0,0,2000
203,昆明医科大学,2024,308.4166666666667,43.25,43.25,113.5,58.75,24,云南,医药类,0,0,355
731,中国林业科学研究院,2023,274.0,37.142857142857146,37.142857142857146,56.0,56.0,7,北京,理工类,0,0,2000
596,中国科学院昆明动物研究所,2024,304.75,49.25,47.5,93.375,69.375,8,云南,农林类,0,0,2000
1343,中国食品药品检定研究院,2023,285.0,38.0,38.0,57.0,57.0,4,北京,医药类,0,0,2000
846,广东省社会科学院,2024,336.72727272727275,47.18181818181818,47.18181818181818,77.9090909090909,64.54545454545455,11,广东,综合类,0,0,2000
655,中国科学院计算技术研究所,2022,300.0,38.0,38.0,70.0,70.0,3,北京,理工类,0,0,2000
606,中国科学院分子细胞科学卓越创新中心,2024,341.3333333333333,56.166666666666664,56.166666666666664,88.5,88.5,6,上海,理工类,0,0,2000
486,中国科学院数学与系统科学研究院,2022,395.7647058823529,52.0,52.0,90.0,90.0,17,北京,理工类,0,0,2000
1514,中国科学院新疆生态与地理研究所,2023,274.4,37.5,37.5,56.3,56.3,10,新疆,其他,0,0,2000
1221,绵阳师范学院,2023,273.0,38.0,38.0,57.0,57.0,1,四川,师范类,0,0,478
694,中国科学院微电子研究所,2022,317.25,54.0,51.25,78.25,84.75,4,北京,理工类,0,0,2000
814,中国舰船研究院,2023,320.0,35.0,35.0,53.0,53.0,2,北京,理工类,0,0,2000
648,北京航空精密机械研究所,2024,273.0,37.0,37.0,56.0,56.0,1,北京,理工类,0,0,2000
551,中国科学院大气物理研究所,2024,289.75,40.0,40.0,60.5,60.5,4,北京,理工类,0,0,2000
347,中国科学院沈阳应用生态研究所,2022,289.5,43.375,43.375,72.375,72.375,8,辽宁,理工类,0,0,2000
933,星海音乐学院,2022,361.0,40.0,40.0,60.0,60.0,2,广东,艺术类,0,0,2000
1204,黄冈师范学院,2023,350.0,51.0,51.0,77.0,77.0,11,湖北,师范类,0,0,459
14,中国地质科学院,2023,275.4166666666667,37.75,37.75,56.666666666666664,56.666666666666664,12,北京,理工类,0,0,2000
622,中国科学院武汉病毒研究所,2023,315.8,44.4,44.4,99.0,47.4,5,湖北,医药类,0,0,2000
905,中共上海市委党校,2023,311.0,40.0,45.5,71.375,60.375,8,上海,政法类,0,0,2000
849,中共吉林省委党校（吉林省行政学院）,2024,312.375,41.125,46.5,72.875,62.125,8,吉林,综合类,0,0,2000
917,电信科学技术第一研究所（上海）,2024,310.0,37.0,37.0,56.0,56.0,2,上海,理工类,0,0,2000
973,北京市科学技术研究院资源环境研究所,2023,273.0,38.0,38.0,57.0,57.0,1,北京,理工类,0,0,2000
923,中国地震局地质研究所,2023,279.0,38.0,38.0,57.0,57.0,4,北京,理工类,0,0,2000
556,中国科学院南京地理与湖泊研究所,2023,296.4,40.4,40.4,61.6,61.6,5,江苏,理工类,0,0,2000
981,哈尔滨体育学院,2022,296.0,37.0,37.0,111.0,0.0,6,黑龙江,体育类,0,0,710
598,中国科学院昆明植物研究所,2023,326.57142857142856,50.714285714285715,51.57142857142857,113.0,86.57142857142857,7,云南,农林类,0,0,2000
1221,绵阳师范学院,2024,273.0,37.0,37.0,56.0,56.0,1,四川,师范类,0,0,478
916,上海船舶运输科学研究所,2024,266.5,36.0,36.0,54.5,54.5,4,上海,理工类,0,0,2000
1186,上海国家会计学院,2024,275.4,18.8,54.8,100.4,28.4,5,上海,财经类,0,0,2000
1071,西安微电子技术研究所,2023,325.0,40.0,40.0,60.0,60.0,2,陕西,理工类,0,0,2000
920,上海船舶设备研究所,2024,268.6666666666667,36.333333333333336,36.333333333333336,55.0,55.0,3,上海,理工类,0,0,2000
348,中国科学院沈阳计算技术研究所,2024,273.0,37.0,37.0,56.0,56.0,4,辽宁,理工类,0,0,2000
1519,中国科学院软件研究所,2024,311.75,37.0,37.0,56.0,56.0,4,北京,其他,0,0,2000
636,核工业北京化工冶金研究院,2024,260.0,35.0,35.0,53.0,53.0,1,北京,理工类,0,0,2000
1565,国家体育总局体育科学研究所,2023,315.125,49.0,51.0,177.25,0.0,8,北京,其他,0,0,2000
398,中共黑龙江省委党校,2024,322.25,43.416666666666664,47.0,72.75,65.58333333333333,12,黑龙江,政法类,0,0,2000
1542,中国电子科技集团公司电子科学研究院,2023,280.0,0.0,0.0,0.0,0.0,3,北京,其他,0,0,2000
1498,铜仁学院,2022,268.0,34.5,34.5,52.0,52.0,4,贵州,综合类,0,0,472
1492,台州学院,2023,273.0,38.0,38.0,57.0,57.0,6,浙江,综合类,0,0,389
1225,广东金融学院,2023,220.0,0.0,52.0,102.0,0.0,1,广东,财经类,0,0,666
1062,中国科学院国家授时中心,2024,279.0,38.6,38.6,58.4,58.4,5,陕西,理工类,0,0,2000
1513,中国科学院国家空间科学中心,2024,278.875,38.75,38.75,58.625,58.625,8,北京,其他,0,0,2000
945,中国地震局工程力学研究所,2024,269.2857142857143,36.42857142857143,36.42857142857143,55.142857142857146,55.142857142857146,7,黑龙江,理工类,0,0,2000
1544,淮阴师范学院,2023,330.75,47.75,47.75,72.0,72.0,4,江苏,师范类,0,0,413
959,中国科学技术信息研究所,2023,340.0,47.0,47.0,71.0,71.0,2,北京,理工类,0,0,2000
246,天津音乐学院,2023,362.0,40.0,40.0,60.0,60.0,6,天津,艺术类,0,0,2000
719,西安近代化学研究所（204所）,2023,290.0,37.0,40.0,80.0,55.666666666666664,3,陕西,理工类,0,0,2000
1543,天津中德应用技术大学,2024,273.0,37.0,37.0,56.0,56.0,2,天津,理工类,0,0,705
1071,西安微电子技术研究所,2024,317.5,40.0,40.0,60.0,60.0,2,陕西,理工类,0,0,2000
1518,中国科学院自动化研究所,2022,336.0,38.0,38.0,57.0,57.0,5,北京,其他,0,0,2000
699,北京长城计量测试技术研究所,2024,273.0,37.0,37.0,56.0,56.0,3,北京,理工类,0,0,2000
1229,浙江传媒学院,2023,358.3333333333333,48.333333333333336,48.333333333333336,72.66666666666667,72.66666666666667,3,浙江,艺术类,0,0,473
44,中共陕西省委党校,2024,308.3333333333333,39.166666666666664,46.333333333333336,73.5,59.166666666666664,6,陕西,政法类,0,0,2000
1556,洛阳船舶材料研究所,2024,303.0,37.0,37.0,70.0,70.0,1,河南,其他,0,0,2000
